objID,ra,dec,z,lgm_tot_p50,sfr_tot_p50,oh_p50
1237657630585454947,130.239648637624,38.2196853903746,0.04107835,9.969903,-0.3891045,8.830517
1237662695962312802,235.273922105101,24.9023547671588,0.03221517,9.575134,-0.7167115,8.735548
1237665128028897576,240.306987457488,21.4757714411382,0.04774351,10.4703,0.1389623,9.143959
1237662223555297512,247.2606570883,20.0503462785425,0.03539276,10.66613,-0.1366984,9.080462
1237651822173749523,218.790779292517,3.74624536251622,0.03163927,9.608268,-0.7749999,8.692262
1237651755087691887,188.248765325437,3.39396225691409,0.04424595,10.10477,0.1365854,8.928767
1237662340549509427,240.005468405071,27.6275595092857,0.03221817,9.395695,-0.6770961,8.967787
1237651822173552811,218.29415408361,3.94248974760471,0.03003024,9.267985,-0.3659898,9.054328
1237658300064137401,142.864737103222,6.11777961106623,0.03725954,9.146251,-0.1373065,8.658643
1237657627898151237,125.738148333586,32.1279616138893,0.04708537,9.730862,-0.08248321,9.011748
1237662528459047080,222.128542532094,10.905636689372,0.04802908,9.665653,0.008382385,8.666635
1237667322181386366,180.188475149467,26.7217572389592,0.04718134,10.0966,-0.6637652,9.092844
1237667735037542415,164.848802552196,21.181200351416,0.03779451,9.29303,-0.1692233,8.591401
1237665536545128497,247.735305402416,16.5852400248746,0.03386257,9.649641,0.2902491,8.953582
1237661387605541035,216.143592963602,53.6399806013744,0.03050657,10.25014,0.05732499,9.006816
1237658492264775793,146.362469535436,7.43248377606985,0.0469574,10.13829,-0.04102249,9.001855
1237667253998256258,140.83137691229,22.2736715584414,0.03364684,10.52373,0.6909971,9.17572
1237660635989672142,140.752984039467,38.493514465706,0.04159541,9.796455,-0.4876205,8.73027
1237651252560200025,131.396389472555,53.5505708787434,0.04504103,9.65181,-0.3457506,8.750463
1237667210520756339,162.536210632853,27.3204831160978,0.030333,10.15506,0.1858765,8.823964
1237665129064759426,142.455364643278,27.9267404557638,0.04308343,10.35979,0.8776604,9.169861
1237662199356260567,225.229472001143,9.6133549823901,0.03695558,9.124265,-0.3649859,8.841384
1237651274040737993,145.749168509683,63.108455921458,0.03121043,9.226386,-0.3071328,8.930346
1237665226230136950,180.742366931573,31.9278277154581,0.03485717,9.100765,-0.0339815,8.617211
1237665442595471454,210.282682643605,28.0338041096494,0.03676874,9.122684,-0.1035769,8.695347
1237656496182526198,348.418315424344,14.981409355063,0.03948147,9.936587,-0.08059812,8.994556
1237662237476126834,207.464980444331,9.11338597383402,0.04807777,9.665913,0.03783469,8.836778
1237661972269564074,208.631659978595,7.47441609385351,0.03823683,9.847017,0.002853272,8.948897
1237651272969027736,155.889941825904,64.6663154253828,0.0403097,9.897134,0.1964822,9.069775
1237667781761433650,186.012474257459,21.7596328239765,0.03242646,9.341264,-0.4037718,8.740401
1237662638522040573,238.217720582576,10.2583148638731,0.03602464,10.25844,0.1937261,9.050765
1237665441530511658,231.288929317932,21.3932504488715,0.0395932,9.713823,0.010883,8.950778
1237657771239735618,130.746231897988,42.8469366925353,0.03251401,9.810422,-0.2200668,8.786852
1237657608575189275,131.134500121557,43.5588108938639,0.04334721,10.02147,-0.3153223,8.81861
1237649920578683014,20.591935362136,14.931234899254,0.03448892,9.294245,-0.2004817,8.71552
1237665428108607677,240.31805274948,17.6778151898253,0.04446674,10.43345,0.9115438,9.169869
